Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot2,"Емельян Ульянов",hard,8,Completed,"Power Station","Power Station: Objective #2","2","18:20:46","18:21:13",
Bot2,"Емельян Ульянов",hard,8,Completed,"Power Station","Power Station: Objective #1","3","18:21:18","18:22:06",
Bot2,"Емельян Ульянов",hard,8,Completed,"Power Station Switch","Power Station Switch: Objective #1","2","18:22:11","18:22:31",
Bot2,"Емельян Ульянов",hard,8,Completed,"Power Station Stashes","Power Station Stashes: Objective #3","1","18:22:36","18:23:02",
Bot2,"Емельян Ульянов",hard,8,Completed,"Power Station Stashes","Power Station Stashes: Objective #2","1","18:23:07","18:23:28",
Bot2,"Емельян Ульянов",hard,8,Failed,"Power Station Stashes","Power Station Stashes: Objective #4","1","18:23:33","18:23:51",
Bot2,"Емельян Ульянов",hard,8,Completed,"Power Station Stashes","Power Station Stashes: Objective #1","1","18:23:56","18:24:25",
Bot2,"Емельян Ульянов",hard,8,Completed,"IDEA Office","IDEA Office: Objective #3","1","18:24:30","18:26:25",
Bot2,"Емельян Ульянов",hard,8,Completed,"IDEA Office","IDEA Office: Objective #2","3","18:26:30","18:27:17",
Bot2,"Емельян Ульянов",hard,8,Completed,"IDEA Office","IDEA Office: Objective #1","2","18:27:22","18:28:02",
Bot2,"Емельян Ульянов",hard,8,Failed,"Pharma","Pharma: Objective #1","1","18:28:07","18:35:26",
Bot2,"Емельян Ульянов",hard,8,Failed,"Pharma","Pharma: Objective #2","1","18:29:31","18:32:55",
Bot2,"Емельян Ульянов",hard,8,Completed,"Parking Tents","Parking Tents: Objective #2","1","18:33:01","18:34:20",
Bot2,"Емельян Ульянов",hard,8,Failed,"German","German: Objective #1","1","18:34:25","18:35:26",
Bot8,"Григорий Скороходов",hard,25,Failed,"The Blood of War - Part 1","Zone place_WARBLOOD_04_2","1","18:20:52","18:21:51",
Bot9,"Корнил Сиянов",hard,6,Failed,"Railway Area","Railway Area: Objective #1","1","18:20:53","18:21:28",
Bot10,"Вениамин Воронцов",hard,12,Failed,"IDEA Office","IDEA Office: Objective #1","1","18:20:54","18:21:33",
Bot12,"Анатолий Листунов",hard,17,Completed,"North Construction Site","North Construction Site: Objective #3","1","18:20:56","18:32:57",
Bot12,"Анатолий Листунов",hard,17,Completed,"North Construction Site","North Construction Site: Objective #1","1","18:33:02","18:33:08",
Bot12,"Анатолий Листунов",hard,17,Completed,"North Construction Site","North Construction Site: Objective #2","1","18:33:13","18:33:17",
Bot12,"Анатолий Листунов",hard,17,Completed,"Big Sale","Zone place_SALE_03_TREND","1","18:33:22","18:35:24",
Bot12,"Анатолий Листунов",hard,17,Completed,"Big Sale","Zone place_SALE_03_DINO","1","18:35:29","18:35:49",
Bot12,"Анатолий Листунов",hard,17,Completed,"Big Sale","Zone place_SALE_03_KOSTIN","1","18:35:54","18:41:01",
Bot13,"Фома Милютин",hard,24,Failed,"Railway Area","Railway Area: Objective #2","1","18:20:57","18:27:51",
Bot14,"Илья Немцов",hard,7,Pending,"Railway Stashes","Railway Stashes: Objective #1","1","18:20:58","N/A",
Bot15,"Вениамин Аптекарь",hard,7,Active,"IDEA Office","IDEA Office: Objective #1","1","18:20:59","N/A",
Bot16,"Константин Касьяненко",hard,37,Pending,"Minibus","Zone place_merch_21_2","1","18:21:00","N/A",
Bot19,"Феликс Сигалов",hard,2,Completed,"The National","The National: Objective #1","2","18:25:51","18:27:40",
Bot19,"Феликс Сигалов",hard,2,Failed,"The National","The National: Objective #2","1","18:27:45","18:29:02",
