Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot9,"Кондратий Касьяненко",hard,2,Completed,"Village East House","Village East House: Objective #2","1","10:44:04","10:46:32",
Bot9,"Кондратий Касьяненко",hard,2,Failed,"Make Amends","Item Secure Flash drive V3","1","10:46:37","10:49:47",
Bot10,"Игнат Аксёнов",hard,22,Failed,"Village West House","Village West House: Objective #1","1","10:44:05","10:51:02",
Bot12,"Josef Walkup",hard,26,Failed,"Revision - Lighthouse","Zone qlight_mark_vech3","1","10:44:07","11:07:22",
Bot11,"Alberto Pon",hard,16,Completed,"Fishing Huts","Fishing Huts: Objective #1","1","10:44:07","10:45:01",
Bot11,"Alberto Pon",hard,16,Completed,"Fishing Huts","Fishing Huts: Objective #3","1","10:45:06","10:45:20",
Bot11,"Alberto Pon",hard,16,Completed,"Revision - Lighthouse","Zone qlight_mark_vech3","1","10:45:25","10:45:54",
Bot11,"Alberto Pon",hard,16,Failed,"Revision - Lighthouse","Zone qlight_mark_vech4","1","10:45:59","10:50:19",
Bot11,"Alberto Pon",hard,16,Failed,"Revision - Lighthouse","Zone qlight_mark_vech1","1","10:50:24","10:50:27",
Bot11,"Alberto Pon",hard,16,Failed,"Revision - Lighthouse","Zone qlight_mark_vech2","1","10:50:32","11:07:24",
Bot13,"Aaron Wass",hard,16,Failed,"Bridge Road Intersection","Bridge Road Intersection: Objective #1","1","10:44:08","11:06:36",
Bot17,"Павел Тёмкин",hard,1,Failed,"Resort Overlook","Resort Overlook: Objective #3","1","10:44:11","10:47:56",
Bot17,"Павел Тёмкин",hard,1,Failed,"Resort Overlook","Resort Overlook: Objective #1","1","10:44:26","10:47:56",
Bot17,"Павел Тёмкин",hard,1,Failed,"Resort Overlook","Resort Overlook: Objective #2","1","10:44:26","10:47:56",
Bot17,"Павел Тёмкин",hard,1,Failed,"Village West House","Village West House: Objective #1","1","10:44:26","10:47:56",
Bot18,"Анатолий Пережогин",hard,19,Failed,"Cabins Crashed Van","Cabins Crashed Van: Objective #1","1","10:44:15","10:48:07",
Bot19,"Артём Ерхов",hard,22,Failed,"Easy Job - Part 1","Zone qlight_pr1_heli1_mark","1","10:44:17","10:46:13",
Bot23,"Корнил Шульц",hard,17,Failed,"Boss Hunter","Spawn Point (-124.5 18.2 -135.5)","1","10:44:25","10:45:54",
Bot36,"Arnoldo Loyola",hard,15,Failed,"Long Road Resort Entrance","Long Road Resort Entrance: Objective #1","1","10:50:00","11:00:34",
Bot36,"Arnoldo Loyola",hard,15,Failed,"Merin Car","Merin Car: Objective #1","1","11:00:39","11:00:44",
Bot36,"Arnoldo Loyola",hard,15,Failed,"Resort Garage","Resort Garage: Objective #1","1","11:00:49","11:01:06",
