Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot372,"Бронислав Костомаров",hard,2,Failed,"Black Bishop Underground","Black Bishop Underground: Objective #2","1","14:43:39","14:47:14",
Bot373,"Игнатий Салагин",hard,1,Failed,"BMP #1 Tower","BMP #1 Tower: Objective #1","1","14:43:40","14:46:19",
Bot374,"Ипполит Шукшин",hard,10,Failed,"The Bunker - Part 1","Zone prapor_024_area_1","1","14:43:41","14:44:42",
Bot375,"Hayden Salamone",hard,33,Failed,"Revision - Reserve","Zone tadeush_t90_area_check_1","1","14:43:43","14:44:10",
Bot375,"Hayden Salamone",hard,33,Completed,"Revision - Reserve","Zone tadeush_bmp2_area_check_2","1","14:44:15","14:45:53",
Bot375,"Hayden Salamone",hard,33,Completed,"Revision - Reserve","Zone tadeush_bmp2_area_mark_2","1","14:45:58","14:46:06",
Bot375,"Hayden Salamone",hard,33,Failed,"Revision - Reserve","Zone tadeush_stryker_area_check_4","1","14:46:11","14:52:14",
Bot376,"Денис Рогов",hard,31,Failed,"Revision - Reserve","Zone tadeush_bmp2_area_check_2","1","14:43:44","14:46:40",
Bot377,"Bryce Riser",hard,25,Failed,"Pest Control","Zone eger_barracks_area_1","1","14:43:45","14:50:09",
Bot378,"Lukec Mundt",hard,25,Failed,"The Bunker - Part 2","Zone prapor_025_area_4","1","14:43:53","14:48:58",
Bot379,"Billy Otterson",hard,39,Failed,"D2 from Dome","D2 from Dome: Objective #1","1","14:44:04","14:44:06",
Bot379,"Billy Otterson",hard,39,Failed,"D2 from Dome","D2 from Dome: Objective #3","1","14:44:11","14:46:44",
Bot390,"Loyd Brawner",hard,28,Failed,"Disease History","Item Medical record #2","1","14:44:14","14:50:02",
Bot427,"Britt Charity",hard,25,Failed,"The Bunker - Part 2","Zone prapor_025_area_4","1","14:48:46","14:52:02",
Bot427,"Britt Charity",hard,25,Failed,"The Bunker - Part 2","Zone prapor_025_area_5","1","14:52:07","14:54:03",
Bot428,"Стас Кожухов",hard,24,Failed,"The Bunker - Part 2","Zone prapor_025_area_1","1","14:48:47","14:51:06",
Bot429,"Rickie Mcmanis",hard,10,Failed,"The Bunker - Part 1","Zone prapor_024_area_1","1","14:48:55","14:52:49",
Bot430,"Евдоким Труфанов",hard,32,Failed,"The Bunker - Part 2","Zone prapor_025_area_1","1","14:48:57","14:59:06",
Bot432,"Dalton Summerlin",hard,42,Failed,"Dome Upper Sniping","Dome Upper Sniping: Objective #3","1","14:49:00","14:51:02",
Bot434,"Davis Mulvey",hard,14,Pending,"Revision - Reserve","Zone tadeush_stryker_area_check_3","1","14:49:07","N/A",
Bot435,"Johnny Broadhead",hard,12,Pending,"Train Yard","Train Yard: Objective #3","1","14:49:18","N/A",
Bot437,"Давид Меркушев",hard,53,Failed,"Command Center","Command Center: Objective #8","1","14:49:33","14:50:35",
Bot445,"Святослав Лоскутов",hard,4,Completed,"Hermetic Depot","Hermetic Depot: Objective #3","1","14:50:58","14:51:05",
Bot445,"Святослав Лоскутов",hard,4,Failed,"Hermetic Depot","Hermetic Depot: Objective #8","1","14:51:10","14:51:16",
Bot445,"Святослав Лоскутов",hard,4,Pending,"Hermetic Depot","Hermetic Depot: Objective #5","1","14:51:21","N/A",
Bot446,"Alton Manzella",hard,19,Failed,"Classified Technologies","Item T-90M Commander Control Panel","1","14:51:06","14:54:59",
Bot447,"Наум Зинченко",hard,35,Pending,"Reserve","Zone huntsman_029","1","14:51:06","N/A",
Bot448,"Вениамин Куликов",hard,16,Completed,"Hermetic Depot","Hermetic Depot: Objective #3","1","14:51:17","14:51:26",
Bot449,"Maria Bustos",hard,33,Failed,"Revision - Reserve","Zone tadeush_bmp2_area_mark_13","1","14:51:18","14:53:50",
Bot450,"Trenton Holtzman",hard,33,Failed,"Back Door","Zone mechanik_exit_area_1","1","14:51:30","14:51:30",
Bot450,"Trenton Holtzman",hard,33,Failed,"The Bunker - Part 2","Zone prapor_025_area_4","1","14:51:35","14:57:17",
Bot461,"Вениамин Брантов",hard,38,Active,"Documents","Item Military documents #2","1","14:53:56","N/A",
Bot465,"Богдан Буров",hard,36,Pending,"Pest Control","Zone eger_barracks_area_1","1","14:54:04","N/A",
Bot462,"Thaddeus Souder",hard,21,Active,"Disease History","Item Medical record #1","1","14:55:56","N/A",
Bot467,"Никита Шурыгин",hard,18,Pending,"The Bunker - Part 2","Zone prapor_025_area_5","1","14:54:59","N/A",
Bot464,"Myron Calloway",hard,37,Pending,"Reserve","Zone huntsman_029","1","14:55:56","N/A",
Bot463,"Fausto Garren",hard,36,Pending,"Reserve","Zone huntsman_029","1","14:55:56","N/A",
Bot466,"Rodrick Bickley",hard,36,Pending,"Reserve","Zone huntsman_029","1","14:55:56","N/A",
Bot472,"Коля Бибис (Даниил)",normal,1,Failed,"Trenches","Trenches: Objective #1","1","14:56:00","14:56:14",
Bot475,"Graham Weeden",hard,12,Completed,"D2 Switch","D2 Switch: Objective #1","3","14:56:03","15:00:10",
Bot475,"Graham Weeden",hard,12,Failed,"Black Pawn","Black Pawn: Objective #3","1","15:00:15","15:00:38",
Bot476,"Odis Browner",hard,39,Failed,"Command Center","Command Center: Objective #9","1","14:56:09","14:57:59",
Bot484,"Arlen Schreiber",hard,30,Failed,"A Fuel Matter","Zone baraholshik_fuel_area_2","1","14:56:58","14:58:48",
Bot485,"Edison Loh",hard,38,Failed,"Documents","Item Military documents #2","1","14:57:02","14:57:28",
Bot487,"Владислав Кропанин",hard,38,Pending,"Snatch","Zone tadeush_bmp2_area_mark_12","1","14:57:33","N/A",
Bot489,"Reed Winchell",hard,23,Active,"Documents","Item Military documents #1","1","14:59:01","N/A",
Bot490,"Lukec Цуканов",hard,19,Active,"The Bunker - Part 1","Zone prapor_024_area_2","1","14:59:11","N/A",
Bot491,"Dorian Brammer",hard,42,Pending,"Documents","Item Military documents #1","1","14:59:12","N/A",
Bot494,"LittleNugget Насонов",hard,25,Pending,"A Fuel Matter","Zone baraholshik_fuel_area_2","1","14:59:20","N/A",
Bot497,"Альвиан Насвай (Benedict)",hard,1,Completed,"Black Pawn","Black Pawn: Objective #5","1","14:59:47","15:00:07",
Bot497,"Альвиан Насвай (Benedict)",hard,1,Failed,"Black Pawn","Black Pawn: Objective #2","1","15:00:12","15:01:30",
Bot497,"Альвиан Насвай (Benedict)",hard,1,Completed,"Black Pawn","Black Pawn: Objective #7","1","15:01:35","15:01:50",
Bot497,"Альвиан Насвай (Benedict)",hard,1,Failed,"Black Pawn","Black Pawn: Objective #10","1","15:01:55","15:02:10",
Bot497,"Альвиан Насвай (Benedict)",hard,1,Pending,"Black Pawn","Black Pawn: Objective #4","1","15:02:15","N/A",
Bot502,"Тимофей Ростовцев",hard,34,Pending,"Disease History","Item Medical record #1","1","15:00:06","N/A",
