Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot189,"Антон Новосельцев",hard,32,Completed,"Boss Hunter","Spawn Point (180.9 16.3 114.9)","1","14:14:35","14:14:49",
Bot189,"Антон Новосельцев",hard,32,Failed,"Boss Hunter","Spawn Point (139.3 14.1 65.6)","1","14:14:54","14:17:35",
Bot190,"Станислав Жигунов",hard,3,Failed,"Luxurious Life","Item Bottle of Le Jean wine","1","14:14:36","14:17:07",
Bot193,"Леонтий Зубов",hard,20,Failed,"Boss Hunter","Spawn Point (73.1 14.1 -56.5)","1","14:14:38","14:15:21",
Bot194,"Даниил Сазонов",hard,27,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","14:14:40","14:14:41",
Bot194,"Даниил Сазонов",hard,27,Pending,"Mira Avenue Benches","Mira Avenue Benches: Objective #1","1","14:14:46","N/A",
Bot198,"Amado Brunswick",hard,23,Failed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","14:14:44","14:19:01",
Bot199,"Von Bartos",hard,18,Pending,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","14:14:45","N/A",
Bot200,"Ryan Spady",hard,35,Failed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","14:14:46","14:18:44",
Bot201,"Wendell Beckley",hard,25,Failed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","14:14:47","14:19:39",
Bot202,"Доброслав Тарковский",hard,24,Completed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","14:14:47","14:15:16",
Bot202,"Доброслав Тарковский",hard,24,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","14:15:21","14:16:05",
Bot203,"Наум Зубов",hard,15,Completed,"Capital Insight Cafe Camping","Capital Insight Cafe Camping: Objective #1","2","14:14:49","14:21:46",
Bot203,"Наум Зубов",hard,15,Completed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","14:21:51","14:22:07",
Bot203,"Наум Зубов",hard,15,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","14:22:13","14:22:13",
Bot203,"Наум Зубов",hard,15,Failed,"Capital Insight","Capital Insight: Objective #4","1","14:22:18","14:22:51",
Bot203,"Наум Зубов",hard,15,Failed,"Capital Insight","Capital Insight: Objective #5","1","14:22:56","14:22:56",
Bot203,"Наум Зубов",hard,15,Failed,"Capital Insight","Capital Insight: Objective #1","1","14:23:02","14:23:02",
Bot203,"Наум Зубов",hard,15,Failed,"Capital Insight","Capital Insight: Objective #3","1","14:23:07","14:23:07",
Bot203,"Наум Зубов",hard,15,Failed,"Capital Insight","Capital Insight: Objective #2","1","14:23:12","14:23:21",
Bot203,"Наум Зубов",hard,15,Failed,"Kyshperski","Kyshperski: Objective #4","1","14:23:27","14:23:27",
Bot203,"Наум Зубов",hard,15,Failed,"Kyshperski","Kyshperski: Objective #1","1","14:23:32","14:23:32",
Bot213,"Denver Geller",hard,22,Failed,"Underground Utility Room","Underground Utility Room: Objective #1","1","14:22:54","14:22:58",
Bot213,"Denver Geller",hard,22,Completed,"Underground North","Underground North: Objective #8","1","14:23:03","14:24:06",
Bot213,"Denver Geller",hard,22,Failed,"Underground North","Underground North: Objective #6","1","14:24:11","14:31:02",
Bot214,"Randy Edgerton",hard,26,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","14:22:55","14:26:41",
Bot215,"Donte Mcphearson",hard,23,Failed,"Saving the Mole","Item TerraGroup scientist's hard drive","1","14:27:59","14:29:15",
Bot216,"Brice Chancey",hard,23,Active,"TerraGroup Office Camping","TerraGroup Office Camping: Objective #1","2","14:28:00","N/A",
Bot217,"Chi Mealy",hard,18,Failed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #9","1","14:28:01","14:29:20",
Bot218,"Bart Neu",hard,17,Failed,"Saving the Mole","Item TerraGroup scientist's hard drive","1","14:28:02","14:29:11",
