Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot104,"Derick Konieczny",hard,23,Failed,"Radio Tower","Radio Tower: Objective #1","1","14:44:21","14:48:50",
Bot104,"Derick Konieczny",hard,23,Completed,"Signal - Part 3","Zone place_SIGNAL_03_3","1","14:44:37","14:44:41",
Bot104,"Derick Konieczny",hard,23,Completed,"Signal - Part 3","Zone place_SIGNAL_03_1","1","14:44:46","14:46:39",
Bot104,"Derick Konieczny",hard,23,Failed,"Signal - Part 3","Zone place_SIGNAL_03_2","1","14:46:45","14:48:50",
Bot105,"Roscoe Fite",hard,18,Failed,"Signal - Part 3","Zone place_SIGNAL_03_3","1","14:44:22","14:48:47",
Bot106,"Jamison Even",hard,22,Failed,"Signal - Part 3","Zone place_SIGNAL_03_3","1","14:44:24","14:49:08",
Bot112,"Филимон Углицкий",hard,14,Failed,"Smuggler's Base Lower","Smuggler's Base Lower: Objective #1","1","14:44:35","14:44:42",
Bot112,"Филимон Углицкий",hard,14,Completed,"Smuggler's Base Lower","Smuggler's Base Lower: Objective #2","1","14:44:47","14:44:52",
Bot112,"Филимон Углицкий",hard,14,Completed,"Smuggler's Base Lower","Smuggler's Base Lower: Objective #9","1","14:44:57","14:45:12",
Bot112,"Филимон Углицкий",hard,14,Completed,"Smuggler's Base Lower","Smuggler's Base Lower: Objective #3","1","14:45:17","14:45:31",
Bot112,"Филимон Углицкий",hard,14,Completed,"Smuggler's Base Lower","Smuggler's Base Lower: Objective #4","1","14:45:36","14:45:51",
Bot112,"Филимон Углицкий",hard,14,Completed,"Smuggler's Base Lower","Smuggler's Base Lower: Objective #5","1","14:45:56","14:46:14",
Bot112,"Филимон Углицкий",hard,14,Completed,"Smuggler's Base Lower","Smuggler's Base Lower: Objective #8","1","14:46:19","14:46:27",
Bot112,"Филимон Углицкий",hard,14,Completed,"Smuggler's Base Lower","Smuggler's Base Lower: Objective #6","1","14:46:32","14:46:42",
Bot112,"Филимон Углицкий",hard,14,Completed,"Smuggler's Base Lower","Smuggler's Base Lower: Objective #7","1","14:46:47","14:46:58",
Bot112,"Филимон Углицкий",hard,14,Failed,"Signal - Part 1","Zone place_SIGNAL_01_1","1","14:47:03","14:50:11",
Bot114,"Астап Тумасов",hard,39,Failed,"Rigged Game","Zone skier_022_area_1","1","14:44:37","14:50:45",
Bot120,"Игнатий Бершов",hard,15,Failed,"Eagle Eye","Item UAV SAS disk #1","1","14:44:48","14:51:13",
Bot122,"Назар Толбанов",hard,4,Completed,"Cottage Garage","Cottage Garage: Objective #1","1","14:45:06","14:47:54",
Bot122,"Назар Толбанов",hard,4,Completed,"Bus Terminal","Bus Terminal: Objective #3","2","14:47:59","14:51:01",
Bot122,"Назар Толбанов",hard,4,Failed,"Bus Terminal","Bus Terminal: Objective #2","3","14:51:06","14:53:50",
Bot123,"Демиан Брежнев",hard,38,Active,"Health Care Privacy - Part 1","Zone ter_013_area_2","1","14:45:10","N/A",
Bot124,"Геннадий Плаксин",hard,1,Failed,"Village","Village: Objective #7","1","14:45:16","14:53:19",
Bot127,"Фаддей Прохоров",hard,11,Failed,"Scrap Metal","Zone place_peacemaker_003_N3","1","14:50:58","14:55:02",
Bot127,"Фаддей Прохоров",hard,11,Completed,"Tank on Bridge","Tank on Bridge: Objective #1","1","14:55:07","14:55:14",
Bot127,"Фаддей Прохоров",hard,11,Failed,"Chemical - Part 1","Item Secure Folder 0013","1","14:55:19","14:56:01",
Bot128,"Bailey Poe",hard,3,Completed,"Smuggler's Base Upper","Smuggler's Base Upper: Objective #2","1","14:51:00","14:52:57",
Bot128,"Bailey Poe",hard,3,Completed,"Smuggler's Base Upper","Smuggler's Base Upper: Objective #3","1","14:53:02","14:53:06",
