Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot36,"Савва Базаров",hard,12,Completed,"Terragroup Office","Terragroup Office: Objective #1","2","17:05:00","17:06:40",
Bot36,"Савва Базаров",hard,12,Completed,"Terragroup Office","Terragroup Office: Objective #2","2","17:06:45","17:08:07",
Bot36,"Савва Базаров",hard,12,Completed,"Anteka","Anteka: Objective #3","1","17:08:12","17:11:41",
Bot36,"Савва Базаров",hard,12,Completed,"Anteka","Anteka: Objective #2","1","17:11:47","17:12:07",
Bot36,"Савва Базаров",hard,12,Completed,"Anteka","Anteka: Objective #1","1","17:12:12","17:12:17",
Bot36,"Савва Базаров",hard,12,Completed,"Cardinal East Building","Cardinal East Building: Objective #1","1","17:12:23","17:14:04",
Bot36,"Савва Базаров",hard,12,Completed,"Cardinal East Building","Cardinal East Building: Objective #2","1","17:14:09","17:14:52",
Bot36,"Савва Базаров",hard,12,Completed,"Cardinal East Building","Cardinal East Building: Objective #3","2","17:14:57","17:15:24",
Bot36,"Савва Базаров",hard,12,Completed,"Underpass Stores","Underpass Stores: Objective #1","1","17:15:29","17:17:14",
Bot36,"Савва Базаров",hard,12,Completed,"Underpass Stores","Underpass Stores: Objective #2","1","17:17:19","17:18:17",
Bot36,"Савва Базаров",hard,12,Completed,"Underpass Stores","Underpass Stores: Objective #3","1","17:18:22","17:18:45",
Bot36,"Савва Базаров",hard,12,Active,"Beluga","Beluga: Objective #2","1","17:18:50","N/A",
Bot37,"Ростислав Чалый",hard,35,Completed,"Pyramid Scheme","Zone Bank_points_10","1","17:05:00","17:05:10",
Bot37,"Ростислав Чалый",hard,35,Pending,"Pyramid Scheme","Zone Bank_points_13","1","17:05:15","N/A",
Bot38,"Степан Шастин",hard,6,Failed,"Coffee Joy","Coffee Joy: Objective #1","1","17:05:00","17:19:08",
Bot42,"Анатолий Зевс (Hubert)",normal,1,Pending,"Nikitskaya 6","Nikitskaya 6: Objective #7","1","17:05:15","N/A",
Bot58,"Ашот Дерзкий (Charles)",normal,1,Pending,"Concordia Basement","Concordia Basement: Objective #2","1","17:06:01","N/A",
Bot61,"Кондрат Трындин",hard,10,Failed,"Post Office","Post Office: Objective #2","1","17:07:38","17:19:34",
Bot61,"Кондрат Трындин",hard,10,Completed,"Post Office","Post Office: Objective #3","2","17:15:58","17:16:23",
Bot61,"Кондрат Трындин",hard,10,Completed,"Post Office","Post Office: Objective #1","1","17:16:28","17:16:49",
Bot61,"Кондрат Трындин",hard,10,Failed,"Primorsky Locked Apartment","Primorsky Locked Apartment: Objective #1","1","17:16:54","17:19:34",
Bot62,"Аркадий Парамонов",hard,7,Pending,"Primorksy 46","Primorksy 46: Objective #4","1","17:07:38","N/A",
Bot60,"Игорь Дежнёв",hard,35,Active,"The Door","Zone quest_zone_hide_sillent2","1","17:07:38","N/A",
Bot59,"Кузьма Сабитов",hard,24,Failed,"The Door","Zone quest_zone_hide_sillent2","1","17:07:38","17:18:49",
Bot64,"Buck Rather",hard,26,Failed,"Broadcast - Part 3","Zone quest_zone_c25_cinem2","1","17:09:16","17:15:56",
Bot64,"Buck Rather",hard,26,Completed,"Petersen Center","Petersen Center: Objective #2","1","17:16:01","17:16:59",
Bot64,"Buck Rather",hard,26,Completed,"Petersen Center","Petersen Center: Objective #3","4","17:17:04","17:17:46",
Bot64,"Buck Rather",hard,26,Completed,"Petersen Center","Petersen Center: Objective #1","1","17:17:51","17:19:12",
Bot64,"Buck Rather",hard,26,Failed,"Petersen Center","Petersen Center: Objective #4","1","17:19:17","17:19:22",
Bot64,"Buck Rather",hard,26,Active,"Pharmancy #2","Pharmancy #2: Objective #2","1","17:19:27","N/A",
Bot63,"Jamey Bradwell",hard,3,Completed,"Shestyorochka","Shestyorochka: Objective #2","3","17:09:16","17:12:33",
Bot63,"Jamey Bradwell",hard,3,Failed,"Nikita Cafe","Nikita Cafe: Objective #1","1","17:12:39","17:15:23",
Bot68,"Jospeh Boyden",hard,5,Completed,"Children's Polyclinic No. 69","Children's Polyclinic No. 69: Objective #1","1","17:16:23","17:17:18",
Bot68,"Jospeh Boyden",hard,5,Completed,"Children's Polyclinic No. 69","Children's Polyclinic No. 69: Objective #2","1","17:17:23","17:17:37",
Bot68,"Jospeh Boyden",hard,5,Failed,"Children's Polyclinic No. 69","Children's Polyclinic No. 69: Objective #3","1","17:17:43","17:18:01",
Bot68,"Jospeh Boyden",hard,5,Completed,"IT Firm Office","IT Firm Office: Objective #9","1","17:18:06","17:18:38",
Bot68,"Jospeh Boyden",hard,5,Completed,"IT Firm Office","IT Firm Office: Objective #6","1","17:18:43","17:19:06",
Bot68,"Jospeh Boyden",hard,5,Completed,"IT Firm Office","IT Firm Office: Objective #5","1","17:19:11","17:19:25",
Bot68,"Jospeh Boyden",hard,5,Completed,"IT Firm Office","IT Firm Office: Objective #1","1","17:19:30","17:20:05",
Bot68,"Jospeh Boyden",hard,5,Active,"IT Firm Office","IT Firm Office: Objective #4","1","17:20:10","N/A",
Bot69,"Roderick Wigley",hard,27,Pending,"Primorksy 48","Primorksy 48: Objective #1","1","17:19:08","N/A",
Bot69,"Roderick Wigley",hard,27,Pending,"Primorksy 48","Primorksy 48: Objective #2","1","17:19:33","N/A",
Bot69,"Roderick Wigley",hard,27,Active,"Primorksy 46","Primorksy 46: Objective #7","1","17:19:53","N/A",
