Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot3,"Ипполит Моисеев",hard,27,Completed,"Supply Plans","Item Secure Folder 0052","1","19:35:11","19:36:19",
Bot3,"Ипполит Моисеев",hard,27,Completed,"Lend-Lease - Part 1","Item Single-axis Fiber Optic Gyroscope #1","1","19:36:24","19:38:11",
Bot3,"Ипполит Моисеев",hard,27,Failed,"Lend-Lease - Part 1","Item Motor Controller #1","1","19:38:16","19:39:03",
Bot3,"Ипполит Моисеев",hard,27,Completed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2","1","19:39:09","19:39:36",
Bot3,"Ипполит Моисеев",hard,27,Completed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2_1","1","19:39:41","19:46:14",
Bot3,"Ипполит Моисеев",hard,27,Completed,"USEC Camp North","USEC Camp North: Objective #1","3","19:46:19","19:50:40",
Bot3,"Ипполит Моисеев",hard,27,Completed,"USEC Camp North","USEC Camp North: Objective #4","2","19:50:45","19:51:17",
Bot3,"Ипполит Моисеев",hard,27,Completed,"USEC Camp North","USEC Camp North: Objective #3","1","19:51:22","19:51:39",
Bot3,"Ипполит Моисеев",hard,27,Completed,"USEC Camp North","USEC Camp North: Objective #2","2","19:51:44","19:52:14",
Bot3,"Ипполит Моисеев",hard,27,Completed,"USEC Camp South","USEC Camp South: Objective #1","3","19:52:19","19:53:19",
Bot3,"Ипполит Моисеев",hard,27,Completed,"USEC Camp South","USEC Camp South: Objective #2","1","19:53:24","19:53:35",
Bot3,"Ипполит Моисеев",hard,27,Completed,"Convoy","Convoy: Objective #1","1","19:53:40","19:54:36",
Bot3,"Ипполит Моисеев",hard,27,Completed,"Convoy","Convoy: Objective #2","1","19:54:41","19:55:02",
Bot3,"Ипполит Моисеев",hard,27,Completed,"Sunken Village","Sunken Village: Objective #1","1","19:55:07","19:56:58",
Bot3,"Ипполит Моисеев",hard,27,Completed,"Sunken Village","Sunken Village: Objective #3","1","19:57:03","19:58:04",
Bot3,"Ипполит Моисеев",hard,27,Completed,"Sunken Village","Sunken Village: Objective #2","1","19:58:09","19:59:08",
Bot3,"Ипполит Моисеев",hard,27,Completed,"VEX Beach","VEX Beach: Objective #1","2","19:59:13","20:00:58",
Bot3,"Ипполит Моисеев",hard,27,Completed,"Scav Town","Scav Town: Objective #3","2","20:01:03","20:03:20",
Bot3,"Ипполит Моисеев",hard,27,Completed,"Scav Town","Scav Town: Objective #4","2","20:03:25","20:03:49",
Bot3,"Ипполит Моисеев",hard,27,Active,"Scav Town","Scav Town: Objective #5","1","20:03:55","N/A",
Bot4,"Феликс Енгалычев",hard,24,Completed,"Steady Signal","Zone q14_8_2","1","19:35:12","19:50:10",
Bot4,"Феликс Енгалычев",hard,24,Completed,"Steady Signal","Zone q14_8_3","1","19:50:15","19:51:25",
Bot4,"Феликс Енгалычев",hard,24,Completed,"Steady Signal","Zone q14_8_1","1","19:51:30","19:53:30",
Bot4,"Феликс Енгалычев",hard,24,Completed,"Steady Signal","Zone q14_8_4","1","19:53:35","19:56:51",
Bot4,"Феликс Енгалычев",hard,24,Completed,"Scav House Sniping","Scav House Sniping: Objective #1","2","19:56:56","19:58:33",
Bot4,"Феликс Енгалычев",hard,24,Completed,"Scav House Sniping","Scav House Sniping: Objective #2","2","19:58:38","19:59:44",
Bot4,"Феликс Енгалычев",hard,24,Completed,"Scav House Sniping","Scav House Sniping: Objective #3","2","19:59:49","20:01:44",
Bot4,"Феликс Енгалычев",hard,24,Failed,"Weapon Storage Shack","Weapon Storage Shack: Objective #1","1","20:01:49","20:02:02",
Bot5,"Ефрем Капустин",hard,18,Pending,"Supply Plans","Item Secure Folder 0052","1","19:35:13","N/A",
Bot6,"Роман Мишин",hard,13,Completed,"RUAF Roadblock Crates","RUAF Roadblock Crates: Objective #2","1","19:35:14","19:35:57",
Bot6,"Роман Мишин",hard,13,Completed,"RUAF Roadblock Crates","RUAF Roadblock Crates: Objective #1","1","19:36:02","19:36:15",
Bot6,"Роман Мишин",hard,13,Failed,"Scav Base","Scav Base: Objective #1","4","19:36:20","19:38:24",
Bot6,"Роман Мишин",hard,13,Completed,"Scav Base","Scav Base: Objective #3","1","19:38:29","19:38:33",
Bot6,"Роман Мишин",hard,13,Completed,"Scav Base","Scav Base: Objective #2","4","19:38:38","19:39:58",
Bot6,"Роман Мишин",hard,13,Completed,"Scav Base","Scav Base: Objective #4","2","19:40:03","19:40:51",
Bot6,"Роман Мишин",hard,13,Completed,"Supply Plans","Item Secure Folder 0052","1","19:40:56","19:43:03",
Bot6,"Роман Мишин",hard,13,Failed,"Sawmill Patrol","Sawmill Patrol: Objective #1","1","19:43:08","19:44:54",
Bot7,"Герасим Воронцов",hard,2,Completed,"Scav Base","Scav Base: Objective #4","2","19:35:15","19:46:25",
Bot7,"Герасим Воронцов",hard,2,Completed,"Scav Base","Scav Base: Objective #3","1","19:46:30","19:46:40",
Bot7,"Герасим Воронцов",hard,2,Failed,"Scav Base","Scav Base: Objective #1","4","19:46:45","19:47:16",
Bot7,"Герасим Воронцов",hard,2,Failed,"Scav Base","Scav Base: Objective #2","3","19:47:21","19:52:27",
Bot7,"Герасим Воронцов",hard,2,Active,"Scav Base Sniping","Scav Base Sniping: Objective #1","2","19:52:32","N/A",
Bot15,"Мартын Веденеев",hard,32,Completed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2_1","1","19:40:09","19:40:36",
Bot15,"Мартын Веденеев",hard,32,Failed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2","1","19:40:41","19:43:30",
Bot16,"Христофор Троцкий",hard,9,Failed,"Search Mission","Zone pr_scout_col","1","19:40:10","19:48:11",
Bot17,"Родион Носачёв",hard,26,Failed,"Steady Signal","Zone q14_8_3","1","19:40:11","19:41:02",
Bot18,"Edison Bristol",hard,14,Failed,"Sawmill Shack","Sawmill Shack: Objective #1","1","19:43:17","19:44:36",
Bot19,"Issac Manson",hard,25,Completed,"Chumming","Zone place_skier_12_3","2","19:43:18","19:45:43",
Bot19,"Issac Manson",hard,25,Completed,"Sawmill Cabins","Sawmill Cabins: Objective #3","1","19:45:48","19:45:52",
Bot19,"Issac Manson",hard,25,Completed,"Sawmill Cabins","Sawmill Cabins: Objective #2","2","19:45:57","19:46:10",
Bot19,"Issac Manson",hard,25,Completed,"Sawmill Cabins","Sawmill Cabins: Objective #1","2","19:46:15","19:47:10",
Bot19,"Issac Manson",hard,25,Completed,"Supply Plans","Item Secure Folder 0052","1","19:47:15","19:47:22",
Bot19,"Issac Manson",hard,25,Failed,"Lend-Lease - Part 1","Item Single-axis Fiber Optic Gyroscope #1","1","19:47:27","19:47:53",
Bot23,"Antonia Sevigny",hard,24,Completed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2","1","19:48:32","19:48:36",
Bot23,"Antonia Sevigny",hard,24,Failed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2_1","1","19:48:42","19:52:05",
Bot24,"Jaxon Emrick",hard,1,Failed,"Weapon Storage Shack","Weapon Storage Shack: Objective #1","1","19:48:32","19:51:56",
Bot25,"Kim Voigt",hard,22,Completed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2","1","19:48:34","19:48:39",
Bot25,"Kim Voigt",hard,22,Failed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2_1","1","19:48:44","19:51:53",
Bot26,"Родион Благонравов",hard,19,Failed,"Steady Signal","Zone q14_8_2","1","19:49:15","19:49:16",
Bot26,"Родион Благонравов",hard,19,Failed,"Steady Signal","Zone q14_8_3","1","19:49:21","19:49:37",
Bot26,"Родион Благонравов",hard,19,Failed,"Steady Signal","Zone q14_8_5","1","19:49:42","19:49:58",
Bot26,"Родион Благонравов",hard,19,Failed,"Steady Signal","Zone q14_8_4","1","19:50:03","19:50:09",
Bot26,"Родион Благонравов",hard,19,Failed,"Steady Signal","Zone q14_8_1","1","19:50:14","19:50:19",
Bot26,"Родион Благонравов",hard,19,Failed,"Supply Plans","Item Secure Folder 0052","1","19:50:24","19:50:26",
Bot26,"Родион Благонравов",hard,19,Failed,"Sniper Rock Crates","Sniper Rock Crates: Objective #1","1","19:50:31","19:50:37",
Bot26,"Родион Благонравов",hard,19,Failed,"Sniper Rock Crates","Sniper Rock Crates: Objective #3","1","19:50:42","19:50:44",
Bot27,"Антон Чудов",hard,17,Failed,"Steady Signal","Zone q14_8_2","1","19:49:16","19:49:16",
Bot27,"Антон Чудов",hard,17,Failed,"Steady Signal","Zone q14_8_3","1","19:49:22","19:50:49",
Bot27,"Антон Чудов",hard,17,Failed,"Steady Signal","Zone q14_8_5","1","19:50:55","19:50:57",
Bot27,"Антон Чудов",hard,17,Failed,"Steady Signal","Zone q14_8_4","1","19:51:02","19:51:10",
Bot27,"Антон Чудов",hard,17,Failed,"Steady Signal","Zone q14_8_1","1","19:51:15","19:51:19",
Bot27,"Антон Чудов",hard,17,Failed,"Sniper Rock Crates","Sniper Rock Crates: Objective #1","1","19:51:24","19:51:28",
Bot27,"Антон Чудов",hard,17,Failed,"Sniper Rock Crates","Sniper Rock Crates: Objective #3","1","19:51:34","19:51:35",
Bot27,"Антон Чудов",hard,17,Failed,"Sniper Rock Crates","Sniper Rock Crates: Objective #2","1","19:51:40","19:51:42",
Bot30,"Hyman Deason",hard,8,Failed,"Sawmill Sniping","Sawmill Sniping: Objective #1","1","19:53:36","19:56:33",
Bot30,"Hyman Deason",hard,8,Completed,"Sawmill Warehouse","Sawmill Warehouse: Objective #1","2","19:53:51","19:55:29",
Bot30,"Hyman Deason",hard,8,Failed,"Sawmill Warehouse","Sawmill Warehouse: Objective #2","1","19:55:34","19:56:33",
Bot31,"Jess Janik",hard,18,Failed,"Sawmill Checkpoint Sniping","Sawmill Checkpoint Sniping: Objective #1","1","19:53:37","19:57:31",
Bot32,"Manuel Barra",hard,32,Failed,"Sawmill Checkpoint Sniping","Sawmill Checkpoint Sniping: Objective #1","1","19:53:39","19:57:24",
Bot34,"Billie Wyche",hard,26,Active,"ZB014 Outhouses","ZB014 Outhouses: Objective #1","1","20:04:08","N/A",
Bot35,"Ramon Niehaus",hard,12,Pending,"Sawmill Checkpoint Nearby Rocks","Sawmill Checkpoint Nearby Rocks: Objective #1","1","20:04:08","N/A",
Bot36,"Nicky Korando",hard,21,Pending,"Weapon Storage Shack","Weapon Storage Shack: Objective #1","1","20:04:11","N/A",
