Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot61,"Лев Ланцов",hard,16,Failed,"Delivery From the Past","Item Secure Folder 0022","1","12:55:04","12:56:29",
Bot62,"Панкрат Мирохин",hard,19,Failed,"Storage","Storage: Objective #6","1","12:55:04","12:55:32",
Bot65,"Иннокентий Лазарев",hard,28,Failed,"Crackhouse","Crackhouse: Objective #7","1","12:55:08","12:57:31",
Bot66,"Демиан Щуров",hard,38,Failed,"Bullshit","Item Flash drive with fake info","1","12:55:09","12:59:19",
Bot68,"Bret Stallard",hard,33,Completed,"Big Red","Big Red: Objective #2","1","12:55:10","13:09:16",
Bot68,"Bret Stallard",hard,33,Completed,"Big Red","Big Red: Objective #3","1","13:09:21","13:09:26",
Bot68,"Bret Stallard",hard,33,Completed,"Big Red","Big Red: Objective #1","1","13:09:31","13:09:43",
Bot68,"Bret Stallard",hard,33,Failed,"Big Red","Big Red: Objective #5","1","13:09:48","13:10:09",
Bot68,"Bret Stallard",hard,33,Failed,"Big Red","Big Red: Objective #4","1","13:10:14","13:10:17",
Bot68,"Bret Stallard",hard,33,Pending,"Farming - Part 3","Zone place_SADOVOD_03","1","13:10:22","N/A",
Bot69,"Steve Rollo",hard,37,Pending,"Bullshit","Item Flash drive with fake info","1","12:55:12","N/A",
Bot70,"Antoine Jessop",hard,24,Pending,"Farming - Part 3","Zone place_SADOVOD_03","1","12:55:12","N/A",
Bot71,"Gustavo Cress",hard,20,Pending,"Big Red","Big Red: Objective #2","1","12:55:13","N/A",
Bot72,"Garry Hass",hard,23,Pending,"Farming - Part 3","Zone place_SADOVOD_03","1","12:55:15","N/A",
Bot79,"Нестор Шувалов",hard,16,Completed,"Crackhouse","Crackhouse: Objective #2","1","12:56:46","12:58:13",
Bot79,"Нестор Шувалов",hard,16,Completed,"Crackhouse","Crackhouse: Objective #7","1","12:58:18","12:58:39",
Bot79,"Нестор Шувалов",hard,16,Completed,"Crackhouse","Crackhouse: Objective #1","1","12:58:44","12:59:11",
Bot79,"Нестор Шувалов",hard,16,Failed,"Crackhouse","Crackhouse: Objective #5","1","12:59:16","13:02:00",
Bot80,"Доброслав Былинкин",hard,31,Failed,"Boss Hunter","Spawn Point (133.8 1.7 -82.0)","1","12:56:47","12:59:59",
Bot84,"Weston Kinnear",hard,13,Failed,"Tigr Safari","Zone place_peacemaker_002_N1","1","12:59:58","13:01:11",
Bot85,"Rodney Mangan",hard,17,Failed,"Out of Curiosity","Zone gazel","1","12:59:58","13:01:25",
Bot85,"Rodney Mangan",hard,17,Failed,"Chemical - Part 4","Zone gazel","1","13:01:30","13:01:37",
Bot85,"Rodney Mangan",hard,17,Failed,"Big Customer","Zone gazel","1","13:01:42","13:01:46",
Bot85,"Rodney Mangan",hard,17,Completed,"Cargo X - Part 2","Item Secure Folder 0013","1","13:01:51","13:03:30",
Bot85,"Rodney Mangan",hard,17,Completed,"Power Switch","Power Switch: Objective #1","2","13:03:35","13:04:32",
Bot85,"Rodney Mangan",hard,17,Completed,"Flash-Drive Van","Flash-Drive Van: Objective #1","1","13:04:37","13:05:38",
Bot85,"Rodney Mangan",hard,17,Failed,"The Extortionist","Zone vremyan_case","1","13:05:43","13:06:20",
Bot85,"Rodney Mangan",hard,17,Failed,"The Extortionist","Zone dead_posylni","1","13:06:25","13:08:59",
Bot86,"Артём Сигалов",hard,16,Failed,"BP Depot","Zone fuel2","1","13:00:03","13:00:29",
Bot86,"Артём Сигалов",hard,16,Failed,"BP Depot","Zone fuel3","1","13:00:34","13:02:06",
Bot86,"Артём Сигалов",hard,16,Failed,"BP Depot","Zone fuel1","1","13:02:12","13:03:05",
Bot86,"Артём Сигалов",hard,16,Failed,"BP Depot","Zone fuel4","1","13:03:10","13:08:17",
Bot90,"Фома Крутов",hard,19,Failed,"The Extortionist","Item Secure Folder 0048","1","13:05:05","13:05:17",
Bot90,"Фома Крутов",hard,19,Active,"The Extortionist","Zone dead_posylni","1","13:05:22","N/A",
Bot91,"Леонтий Гулин",hard,32,Failed,"Old Gas","Old Gas: Objective #2","1","13:05:06","13:10:41",
Bot94,"Кирилл Фотошоп (Олег)",normal,1,Completed,"Crackhouse","Crackhouse: Objective #2","1","13:07:30","13:08:26",
Bot94,"Кирилл Фотошоп (Олег)",normal,1,Completed,"Crackhouse","Crackhouse: Objective #4","1","13:08:31","13:08:36",
Bot94,"Кирилл Фотошоп (Олег)",normal,1,Completed,"Crackhouse","Crackhouse: Objective #7","1","13:08:41","13:09:17",
Bot94,"Кирилл Фотошоп (Олег)",normal,1,Active,"Crackhouse","Crackhouse: Objective #5","1","13:09:22","N/A",
