Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot122,"Hong Leasure",hard,21,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","12:10:23","12:12:10",
Bot123,"Rayford Thibodeaux",hard,18,Failed,"Manager's Office","Manager's Office: Objective #1","1","12:10:24","12:13:26",
Bot124,"Leopoldo Haveman",hard,27,Completed,"Parking","Parking: Objective #2","1","12:10:25","12:10:28",
Bot124,"Leopoldo Haveman",hard,27,Failed,"Parking","Parking: Objective #1","1","12:10:33","12:12:01",
Bot125,"Bailey Kirst",hard,21,Failed,"Admin Office","Admin Office: Objective #1","1","12:10:26","12:12:46",
Bot127,"Пахом Мохов",hard,9,Completed,"Negotiation Room","Negotiation Room: Objective #2","1","12:12:26","12:18:29",
Bot127,"Пахом Мохов",hard,9,Completed,"Negotiation Room","Negotiation Room: Objective #1","1","12:18:34","12:19:33",
Bot127,"Пахом Мохов",hard,9,Completed,"Blue Room Entry","Blue Room Entry: Objective #1","1","12:19:38","12:19:58",
Bot127,"Пахом Мохов",hard,9,Completed,"Blue Room Entry","Blue Room Entry: Objective #2","1","12:20:03","12:20:27",
Bot127,"Пахом Мохов",hard,9,Completed,"Cargo Block Elevator Power Switch","Cargo Block Elevator Power Switch: Objective #1","2","12:20:32","12:23:14",
Bot127,"Пахом Мохов",hard,9,Completed,"Black Room Camping","Black Room Camping: Objective #1","2","12:23:19","12:25:16",
Bot127,"Пахом Мохов",hard,9,Failed,"Main Working Area East","Main Working Area East: Objective #3","1","12:25:21","12:25:25",
Bot126,"Гордей Кобяков",hard,10,Failed,"Blue Room Entry","Blue Room Entry: Objective #1","1","12:12:26","12:17:44",
Bot128,"Пётр Сеченов",hard,6,Completed,"Offices Outside","Offices Outside: Objective #2","1","12:12:28","12:12:40",
Bot129,"Сильвестр Дульцев",hard,35,Failed,"Blue Room","Blue Room: Objective #1","1","12:12:28","12:15:24",
Bot130,"Jacques Mccraney",hard,3,Completed,"Server Room NW Stairs","Server Room NW Stairs: Objective #1","1","12:12:44","12:19:05",
Bot130,"Jacques Mccraney",hard,3,Failed,"Hangar Gate Controls","Hangar Gate Controls: Objective #1","1","12:19:10","12:22:17",
Bot131,"Ruben Pendergrass",hard,19,Failed,"Medical Block Elevator Power Switch","Medical Block Elevator Power Switch: Objective #1","1","12:12:45","12:13:33",
Bot132,"Lyman Starner",hard,27,Failed,"Server Room Control Room","Server Room Control Room: Objective #1","1","12:12:48","12:16:30",
Bot133,"Семён Брусилов",hard,19,Failed,"Violet Room","Violet Room: Objective #1","1","12:13:22","12:14:54",
Bot133,"Семён Брусилов",hard,19,Completed,"Security Office","Security Office: Objective #1","1","12:14:59","12:17:28",
Bot133,"Семён Брусилов",hard,19,Completed,"Security Office","Security Office: Objective #2","1","12:17:34","12:17:39",
Bot133,"Семён Брусилов",hard,19,Failed,"Red Room","Red Room: Objective #1","1","12:17:45","12:17:45",
Bot133,"Семён Брусилов",hard,19,Failed,"Rec Area 2nd Floor Patrol","Rec Area 2nd Floor Patrol: Objective #1","2","12:17:50","12:21:11",
Bot137,"Елизар Зонов",hard,22,Failed,"Negotiation Room","Negotiation Room: Objective #2","1","12:16:48","12:18:48",
Bot138,"Артур Галкин",hard,9,Failed,"Negotiation Room","Negotiation Room: Objective #2","1","12:16:49","12:25:22",
Bot139,"Фаддей Ковшутин",hard,12,Failed,"Main Working Area West","Main Working Area West: Objective #3","1","12:16:49","12:17:26",
Bot147,"Ипполит Сиянович",hard,14,Completed,"Blue Room Entry","Blue Room Entry: Objective #1","1","12:22:40","12:23:17",
Bot147,"Ипполит Сиянович",hard,14,Failed,"Blue Room Entry","Blue Room Entry: Objective #2","1","12:23:22","12:29:22",
Bot148,"Семён Шинский",hard,18,Failed,"Blue Room Entry","Blue Room Entry: Objective #1","1","12:22:41","12:28:36",
Bot149,"Виталлий Лешев",hard,13,Failed,"Negotiation Room","Negotiation Room: Objective #1","1","12:22:42","12:23:41",
Bot150,"Альберт Ермилов",hard,34,Failed,"Green Room","Green Room: Objective #6","1","12:22:45","12:28:52",
Bot151,"Ike Canchola",hard,27,Completed,"Offices Outside","Offices Outside: Objective #2","1","12:25:00","12:30:06",
Bot151,"Ike Canchola",hard,27,Failed,"Offices Outside","Offices Outside: Objective #1","1","12:30:12","12:31:54",
Bot152,"Ward Wisniewski",hard,39,Failed,"Green Room","Green Room: Objective #7","1","12:25:03","12:31:44",
Bot153,"Ezra Danis",hard,18,Failed,"Offices Outside","Offices Outside: Objective #2","1","12:25:09","12:29:34",
Bot154,"Rex Dominquez",hard,13,Active,"Security Office","Security Office: Objective #1","1","12:25:36","N/A",
Bot155,"Sid Varley",hard,12,Failed,"Admin Office","Admin Office: Objective #3","1","12:25:41","12:31:25",
Bot156,"Elden Vrabel",hard,23,Failed,"Admin Office","Admin Office: Objective #3","1","12:25:41","12:27:30",
Bot159,"Wendell Cornejo",hard,22,Failed,"Red Room","Red Room: Objective #1","1","12:31:36","12:31:38",
Bot159,"Wendell Cornejo",hard,22,Active,"Violet Room","Violet Room: Objective #1","1","12:31:43","N/A",
Bot160,"Phillip Mitchum",hard,5,Pending,"Security Office","Security Office: Objective #1","1","12:31:38","N/A",
Bot161,"Kirby Aybar",hard,23,Pending,"Violet Room","Violet Room: Objective #1","1","12:31:38","N/A",
Bot162,"Keenan Meadors",hard,25,Failed,"Red Room","Red Room: Objective #1","1","12:31:39","12:31:41",
Bot162,"Keenan Meadors",hard,25,Pending,"Cafeteria","Cafeteria: Objective #1","1","12:31:46","N/A",
Bot163,"Tyree Lovely",hard,26,Pending,"Security Office","Security Office: Objective #1","1","12:31:40","N/A",
Bot164,"Трофим Бухало",hard,7,Active,"Infirmary","Infirmary: Objective #3","1","12:33:22","N/A",
Bot165,"Савва Мухин",hard,11,Pending,"Offices Outside","Offices Outside: Objective #2","1","12:33:23","N/A",
Bot166,"Семён Костомаров",hard,16,Pending,"Main Work Area 2nd Floor Patrol","Main Work Area 2nd Floor Patrol: Objective #2","1","12:33:24","N/A",
